A,B,C,D,E,F,G,H
9,20304,1525,13434,1343302,199,33304,184
9,20304,1530,13433,1343302,199,33304,184
9,20304,1530,13433,1343302,199,33304,184
9,20304,1546,13434,1343302,199,33304,184
9,20304,1553,13434,1343302,199,33304,184
9,20304,1592,13434,1343302,199,33304,184
9,20304,1609,13433,1343302,199,33304,184
9,20304,1609,13434,1343302,199,33304,184
9,20304,1617,13433,1343302,199,33304,184
9,20304,2869,13434,1343302,199,33304,184
9,20304,3368,13433,1343302,199,33304,184
9,20304,3948,13433,1343302,199,33304,184
9,20304,3948,13434,1343302,199,33304,184
9,20304,3948,13433,1343302,199,33304,184
9,20304,3968,13434,1343302,199,33304,184
9,20304,3968,13433,1343302,199,33304,184
9,20304,3968,13433,1343302,199,33304,184
9,20304,4241,13434,1343302,199,33304,184
9,20304,1449,13487,1348702,204,31650,183
9,20304,1449,13488,1348702,204,31650,183
9,20304,1455,13488,1348702,204,31650,183
9,20304,1499,13487,1348702,204,31650,183
9,20304,1505,13487,1348702,204,31650,183
9,20304,1525,13488,1348702,204,31650,183
9,20304,1525,13488,1348702,204,31650,183
9,20304,1525,13488,1348702,204,31650,183
9,20304,1530,13488,1348702,204,31650,183
9,20304,1530,13487,1348702,204,31650,183
9,20304,1530,13488,1348702,204,31650,183
9,20304,1546,13488,1348702,204,31650,183
9,20304,1553,13488,1348702,204,31650,183
9,20304,1592,13487,1348702,204,31650,183
9,20304,1609,13488,1348702,204,31650,183
9,20304,1609,13488,1348702,204,31650,183
9,20304,1617,13488,1348702,204,31650,183
9,20304,1617,13488,1348702,204,31650,183
9,20304,2869,13488,1348702,204,31650,183
9,20304,2912,13488,1348702,204,31650,183
9,20304,3368,13487,1348702,204,31650,183
9,20304,3368,13487,1348702,204,31650,183
9,20304,3383,13488,1348702,204,31650,183
9,20304,3948,13488,1348702,204,31650,183
9,20304,3948,13488,1348702,204,31650,183
9,20304,3948,13487,1348702,204,31650,183
9,20304,3968,13488,1348702,204,31650,183
9,20304,3968,13488,1348702,204,31650,183
9,20304,3968,13487,1348702,204,31650,183
9,20304,4241,13488,1348702,204,31650,183
4,20366,109,14525,1452401,241,34524,232
4,20366,157,14525,1452401,241,34524,232
9,20304,1426,10693,1069302,36,30693,197
9,20304,1617,10694,1069302,36,30693,197
9,20304,2095,10694,1069302,36,30693,197
9,20304,2122,10694,1069302,36,30693,197
9,20304,2888,10694,1069302,36,30693,197
9,20304,2888,10694,1069302,36,30693,197
9,20304,2936,10694,1069302,36,30693,197
9,20304,3510,10694,1069302,36,30693,197
9,20304,3510,10694,1069302,36,30693,197
9,20304,3518,10694,1069302,36,30693,197
9,20304,3518,10694,1069302,36,30693,197
9,20304,3518,10693,1069302,36,30693,197
9,20304,3518,10694,1069302,36,30693,197
9,20304,3530,10693,1069302,36,30693,197
9,20304,3542,10694,1069302,36,30693,197
9,20304,3547,10694,1069302,36,30693,197
9,20304,3547,10694,1069302,36,30693,197
9,20304,3575,10694,1069302,36,30693,197
9,20304,3581,10694,1069302,36,30693,197
9,20304,3591,10694,1069302,36,30693,197
9,20304,3591,10693,1069302,36,30693,197
9,20304,3591,10694,1069302,36,30693,197
9,20304,3596,10694,1069302,36,30693,197
9,20304,3610,10694,1069302,36,30693,197
9,20304,3610,10694,1069302,36,30693,197
9,20304,3617,10693,1069302,36,30693,197
9,20304,3626,10694,1069302,36,30693,197
9,20304,3948,10694,1069302,36,30693,197
13,19393,1498,11042,1104202,62,30647,60
13,19393,1759,11043,1104202,62,30647,60
13,19393,2724,11043,1104202,62,30647,60
13,19393,2828,11043,1104202,62,30647,60
9,20304,2089,11433,1143302,88,31295,80
9,20304,3586,11433,1143302,88,31295,80
4,20366,176,11618,1161802,99,31703,201
4,20366,269,11619,1161802,99,31703,201
13,19393,962,12890,1288903,162,32211,160
13,19393,1498,12889,1288903,162,32211,160
13,19393,2724,12889,1288903,162,32211,160
13,19393,2828,12890,1288903,162,32211,160
13,19393,1498,13232,1323202,183,30977,56
13,19393,1759,13232,1323202,183,30977,56
13,19393,2724,13232,1323202,183,30977,56
13,19393,2828,13232,1323202,183,30977,56
4,20366,273,13342,1334205,191,33342,182
4,20366,369,13342,1334205,191,33342,182
8,20398,3522,14493,1449202,239,34492,228
8,20398,3556,14493,1449202,239,34492,228
8,20398,3556,14493,1449202,239,34492,228
8,20398,3556,14492,1449202,239,34492,228
8,20398,3556,14493,1449202,239,34492,228
8,20398,3556,14493,1449202,239,34492,228
8,20398,3573,14493,1449202,239,34492,228
8,20398,3603,14493,1449202,239,34492,228
8,20398,3603,14493,1449202,239,34492,228
8,20398,3635,14492,1449202,239,34492,228
8,20398,3635,14493,1449202,239,34492,228
8,20398,3652,14492,1449202,239,34492,228
8,20398,3652,14493,1449202,239,34492,228
8,20398,3652,14492,1449202,239,34492,228
8,20398,3652,14492,1449202,239,34492,228
8,20398,3652,14492,1449202,239,34492,228
8,20398,3664,14492,1449202,239,34492,228
8,20398,3664,14493,1449202,239,34492,228
8,20398,3664,14492,1449202,239,34492,228
8,20398,3664,14493,1449202,239,34492,228
8,20398,3678,14493,1449202,239,34492,228
8,20398,3678,14492,1449202,239,34492,228
8,20398,3696,14493,1449202,239,34492,228
8,20398,3705,14492,1449202,239,34492,228
8,20398,3742,14493,1449202,239,34492,228
8,20398,3742,14493,1449202,239,34492,228
8,20398,3742,14493,1449202,239,34492,228
8,20398,3742,14493,1449202,239,34492,228
8,20398,3742,14493,1449202,239,34492,228
8,20398,3788,14493,1449202,239,34492,228
8,20398,3798,14493,1449202,239,34492,228
13,19393,962,15016,1501603,275,31123,266
13,19393,1498,15016,1501603,275,31123,266
13,19393,2724,15016,1501603,275,31123,266
13,19393,2828,15016,1501603,275,31123,266
13,19393,582,10694,1069302,36,30693,197
13,19393,602,10694,1069302,36,30693,197
13,19393,673,10693,1069302,36,30693,197
13,19393,3895,10694,1069302,36,30693,197
9,20304,2122,11058,1105703,64,31057,53
9,20304,2888,11058,1105703,64,31057,53
9,20304,2924,11057,1105703,64,31057,53
9,20304,2940,11058,1105703,64,31057,53
9,20304,3536,11057,1105703,64,31057,53
9,20304,3558,11058,1105703,64,31057,53
9,20304,3558,11058,1105703,64,31057,53
9,20304,3575,11058,1105703,64,31057,53
9,20304,3575,11058,1105703,64,31057,53
9,20304,3586,11057,1105703,64,31057,53
9,20304,3596,11057,1105703,64,31057,53
9,20304,3636,11057,1105703,64,31057,53
13,19393,602,11293,1129202,81,30325,78
13,19393,673,11292,1129202,81,30325,78
13,19393,1534,11292,1129202,81,30325,78
13,19393,3895,11292,1129202,81,30325,78
9,20304,1423,12156,1215602,132,32156,123
9,20304,1423,12157,1215602,132,32156,123
9,20304,1423,12157,1215602,132,32156,123
9,20304,1426,12156,1215602,132,32156,123
9,20304,1492,12157,1215602,132,32156,123
9,20304,1492,12157,1215602,132,32156,123
9,20304,1671,12157,1215602,132,32156,123
9,20304,3960,12157,1215602,132,32156,123
13,19393,602,12890,1288903,162,32211,160
13,19393,673,12890,1288903,162,32211,160
13,19393,1534,12889,1288903,162,32211,160
13,19393,3895,12889,1288903,162,32211,160
9,20304,2122,13488,1348702,204,31650,183
9,20304,2888,13487,1348702,204,31650,183
9,20304,2924,13487,1348702,204,31650,183
9,20304,2940,13488,1348702,204,31650,183
9,20304,3536,13488,1348702,204,31650,183
9,20304,3542,13488,1348702,204,31650,183
9,20304,3558,13488,1348702,204,31650,183
9,20304,3558,13487,1348702,204,31650,183
9,20304,3575,13488,1348702,204,31650,183
9,20304,3575,13488,1348702,204,31650,183
9,20304,3586,13487,1348702,204,31650,183
9,20304,3596,13488,1348702,204,31650,183
9,20304,3617,13488,1348702,204,31650,183
9,20304,3636,13487,1348702,204,31650,183
9,20304,3547,13930,1393002,215,30977,56
9,20304,3621,13931,1393002,215,30977,56
9,20304,1423,14869,1486903,268,34614,241
9,20304,1423,14870,1486903,268,34614,241
9,20304,1423,14869,1486903,268,34614,241
9,20304,1426,14869,1486903,268,34614,241
9,20304,1492,14869,1486903,268,34614,241
9,20304,1492,14870,1486903,268,34614,241
9,20304,1671,14870,1486903,268,34614,241
9,20304,3960,14870,1486903,268,34614,241
13,19393,602,15377,1537602,287,30436,275
13,19393,673,15376,1537602,287,30436,275
13,19393,1534,15376,1537602,287,30436,275
13,19393,3895,15377,1537602,287,30436,275
8,20398,2896,11279,1127802,80,30852,282
8,20398,3540,11279,1127802,80,30852,282
8,20398,3556,11278,1127802,80,30852,282
8,20398,3561,11279,1127802,80,30852,282
8,20398,3561,11279,1127802,80,30852,282
8,20398,3603,11279,1127802,80,30852,282
8,20398,3603,11279,1127802,80,30852,282
8,20398,3603,11279,1127802,80,30852,282
8,20398,3603,11278,1127802,80,30852,282
8,20398,3630,11279,1127802,80,30852,282
8,20398,3635,11278,1127802,80,30852,282
8,20398,3635,11278,1127802,80,30852,282
8,20398,3635,11279,1127802,80,30852,282
8,20398,3635,11278,1127802,80,30852,282
8,20398,3652,11279,1127802,80,30852,282
8,20398,3652,11278,1127802,80,30852,282
8,20398,3652,11279,1127802,80,30852,282
8,20398,3652,11278,1127802,80,30852,282
8,20398,3664,11279,1127802,80,30852,282
8,20398,3664,11279,1127802,80,30852,282
8,20398,3678,11279,1127802,80,30852,282
8,20398,3678,11278,1127802,80,30852,282
8,20398,3678,11279,1127802,80,30852,282
8,20398,3696,11278,1127802,80,30852,282
8,20398,3742,11279,1127802,80,30852,282
8,20398,3742,11278,1127802,80,30852,282
8,20398,3742,11279,1127802,80,30852,282
8,20398,3742,11279,1127802,80,30852,282
8,20398,3759,11279,1127802,80,30852,282
8,20398,3788,11278,1127802,80,30852,282
8,20398,3788,11279,1127802,80,30852,282
9,20304,1442,11588,1158702,95,31587,90
9,20304,1442,11588,1158702,95,31587,90
9,20304,1442,11588,1158702,95,31587,90
9,20304,1449,11587,1158702,95,31587,90
9,20304,1581,11587,1158702,95,31587,90
9,20304,1593,11588,1158702,95,31587,90
9,20304,1593,11588,1158702,95,31587,90
9,20304,1593,11587,1158702,95,31587,90
9,20304,1593,11587,1158702,95,31587,90
9,20304,2776,11588,1158702,95,31587,90
9,20304,2912,11587,1158702,95,31587,90
9,20304,2912,11587,1158702,95,31587,90
9,20304,2912,11588,1158702,95,31587,90
9,20304,4241,11587,1158702,95,31587,90
9,20304,1483,11776,1177502,109,31775,259
4,20366,230,12218,1221702,138,30255,129
9,20304,1442,12336,1233502,144,32335,134
9,20304,1442,12335,1233502,144,32335,134
9,20304,1442,12335,1233502,144,32335,134
9,20304,1449,12336,1233502,144,32335,134
9,20304,1581,12336,1233502,144,32335,134
9,20304,1593,12336,1233502,144,32335,134
9,20304,1593,12336,1233502,144,32335,134
9,20304,1593,12335,1233502,144,32335,134
