A,B,C,D,E,F,G,H
9,20304,1525,13433,1343302,199,33304,184
9,20304,1530,13434,1343302,199,33304,184
9,20304,1530,13434,1343302,200,33304,184
9,20304,1546,13434,1343302,200,33304,184
9,20304,1553,13434,1343302,200,33304,184
9,20304,1592,13433,1343302,199,33304,184
9,20304,1609,13433,1343302,200,33304,184
9,20304,1609,13434,1343302,200,33304,184
9,20304,1617,13434,1343302,200,33304,184
9,20304,2869,13434,1343302,199,33304,184
9,20304,3368,13433,1343302,199,33304,184
9,20304,3948,13433,1343302,200,33304,184
9,20304,3948,13433,1343302,200,33304,184
9,20304,3948,13434,1343302,199,33304,184
9,20304,3968,13433,1343302,200,33304,184
9,20304,3968,13434,1343302,200,33304,184
9,20304,3968,13434,1343302,200,33304,184
9,20304,4241,13434,1343302,200,33304,184
9,20304,1449,13487,1348702,204,31650,183
9,20304,1449,13488,1348702,205,31650,183
9,20304,1455,13488,1348702,205,31650,183
9,20304,1499,13488,1348702,205,31650,183
9,20304,1505,13488,1348702,205,31650,183
9,20304,1525,13488,1348702,205,31650,183
9,20304,1525,13488,1348702,205,31650,183
9,20304,1525,13487,1348702,204,31650,183
9,20304,1530,13487,1348702,204,31650,183
9,20304,1530,13488,1348702,205,31650,183
9,20304,1530,13487,1348702,204,31650,183
9,20304,1546,13488,1348702,204,31650,183
9,20304,1553,13488,1348702,205,31650,183
9,20304,1592,13487,1348702,204,31650,183
9,20304,1609,13487,1348702,205,31650,183
9,20304,1609,13488,1348702,204,31650,183
9,20304,1617,13488,1348702,205,31650,183
9,20304,1617,13488,1348702,204,31650,183
9,20304,2869,13487,1348702,205,31650,183
9,20304,2912,13488,1348702,205,31650,183
9,20304,3368,13487,1348702,204,31650,183
9,20304,3368,13488,1348702,205,31650,183
9,20304,3383,13488,1348702,204,31650,183
9,20304,3948,13488,1348702,204,31650,183
9,20304,3948,13488,1348702,205,31650,183
9,20304,3948,13488,1348702,205,31650,183
9,20304,3968,13488,1348702,205,31650,183
9,20304,3968,13487,1348702,205,31650,183
9,20304,3968,13488,1348702,205,31650,183
9,20304,4241,13487,1348702,205,31650,183
4,20366,109,14524,1452401,241,34524,232
4,20366,157,14525,1452401,242,34524,232
9,20304,1426,10693,1069302,36,30693,197
9,20304,1617,10693,1069302,37,30693,197
9,20304,2095,10693,1069302,36,30693,197
9,20304,2122,10693,1069302,36,30693,197
9,20304,2888,10693,1069302,37,30693,197
9,20304,2888,10693,1069302,37,30693,197
9,20304,2936,10693,1069302,37,30693,197
9,20304,3510,10693,1069302,37,30693,197
9,20304,3510,10693,1069302,36,30693,197
9,20304,3518,10693,1069302,36,30693,197
9,20304,3518,10693,1069302,36,30693,197
9,20304,3518,10693,1069302,36,30693,197
9,20304,3518,10693,1069302,37,30693,197
9,20304,3530,10693,1069302,37,30693,197
9,20304,3542,10693,1069302,36,30693,197
9,20304,3547,10693,1069302,36,30693,197
9,20304,3547,10693,1069302,36,30693,197
9,20304,3575,10693,1069302,37,30693,197
9,20304,3581,10693,1069302,36,30693,197
9,20304,3591,10693,1069302,37,30693,197
9,20304,3591,10693,1069302,36,30693,197
9,20304,3591,10693,1069302,36,30693,197
9,20304,3596,10693,1069302,36,30693,197
9,20304,3610,10693,1069302,37,30693,197
9,20304,3610,10693,1069302,37,30693,197
9,20304,3617,10693,1069302,37,30693,197
9,20304,3626,10693,1069302,37,30693,197
9,20304,3948,10693,1069302,36,30693,197
13,19393,1498,11042,1104202,62,30647,60
13,19393,1759,11042,1104202,63,30647,60
13,19393,2724,11043,1104202,62,30647,60
13,19393,2828,11043,1104202,63,30647,60
9,20304,2089,11433,1143302,88,31295,80
9,20304,3586,11434,1143302,89,31295,80
4,20366,176,11618,1161802,99,31703,201
4,20366,269,11619,1161802,100,31703,201
13,19393,962,12889,1288903,162,32211,160
13,19393,1498,12889,1288903,162,32211,160
13,19393,2724,12890,1288903,162,32211,160
13,19393,2828,12889,1288903,162,32211,160
13,19393,1498,13232,1323202,183,30977,56
