c2,c3,c13,c15,c26,c42,c43,c44,c45,c48,c91
9050398,1,85827,3318,264196,1,1,3,3,45,0
9050403,3,94187,118,57818,2,2,2,2,36,1
9050404,3,441394,126,72963,1,2,3,3,40,2
9050405,1,98219,3613,279044,1,2,2,2,48,3
9050406,1,441586,1033,20799,1,2,3,3,58,4
9050407,1,446534,913,454200,1,2,3,3,61,5
9050408,1,98453,2652,214711,1,2,2,2,61,6
1242500,1,162635,2112,169867,1,2,2,2,78,7
9050412,1,450987,5126,352896,1,2,3,3,51,8
9050413,1,507083,2865,227235,2,2,3,3,34,9
9136600,1,67651,3194,255659,1,1,2,2,35,10
9050415,1,874831,513,352987,1,1,2,2,39,11
9050416,1,456397,1123,47124,1,1,3,3,48,12
9050418,1,459737,8124,434892,1,1,0,0,57,13
1242510,4,162641,2112,169867,1,1,2,2,77,14
9050422,1,399582,104,23091,1,1,2,2,61,15
9050423,4,470945,107,31104,1,1,3,3,84,16
9050426,1,492419,861,443787,1,1,2,2,46,17
9050427,3,495231,703,409443,1,1,3,3,48,18
9050428,1,499070,3761,285052,1,1,3,3,44,19
9050431,1,507408,2323,190446,2,2,2,2,35,20
9050433,1,511671,1438,96649,1,1,2,2,46,21
9050437,1,521852,5453,364677,1,1,2,2,68,22
9050438,1,522866,2000,153000,1,1,0,0,53,23
9050442,1,546264,3269,260899,1,1,3,3,57,24
9050443,4,546265,3269,260899,1,1,2,2,35,25
9050444,1,546266,3269,260899,1,1,3,3,63,26
9050445,1,550514,1550,110381,1,1,2,2,52,27
9050449,1,338472,5114,352248,1,1,2,2,43,28
373525,1,575224,20,151319,1,1,0,0,35,29
9050456,1,589846,3505,273886,1,1,2,2,51,30
9050458,2,594983,616,388524,1,1,0,0,65,31
9050461,1,607103,344,270382,1,1,3,3,40,32
9050464,1,612398,1106,41529,2,2,2,2,56,33
9050465,1,620209,1074,31472,1,1,3,3,40,34
9050466,1,626246,1030,20367,2,2,0,0,41,35
9050467,1,623565,2517,205372,1,1,0,0,60,36
9050469,1,639368,2422,198029,1,1,3,3,46,37
9050471,1,256382,4501,325628,1,1,2,2,50,38
9050472,1,643415,1024,17800,1,1,2,2,52,39
9050473,1,647644,1323,82226,1,1,0,0,75,40
9050474,1,367975,2430,198659,1,1,3,3,35,41
9050475,1,664521,457,327613,2,2,0,0,57,42
9050479,1,673757,1612,116832,1,1,0,0,36,43
9050480,1,674862,2569,208564,1,1,2,2,61,44
9050481,4,679877,3466,271388,1,1,2,2,53,45
9050482,4,682400,737,419110,1,1,2,2,39,46
9050483,1,684241,7533,422469,1,1,2,2,36,47
9050484,1,365414,328,261432,1,1,2,2,34,48
9050485,1,689782,5025,346452,1,1,0,0,42,49
9050486,1,187513,606,384075,1,1,3,3,36,50
9050488,1,697148,2132,172215,1,1,3,3,58,51
1243600,1,163045,2831,225781,1,1,3,3,84,52
9050490,1,702370,4559,327306,1,1,0,0,34,53
9050493,1,707258,801,431253,1,1,2,2,39,54
9050494,1,712633,2219,181137,1,1,0,0,70,55
9050497,1,632706,124,70062,1,1,2,2,64,56
9050498,1,726893,4549,326973,1,1,3,3,44,57
9050500,4,4180,2235,182885,1,1,0,0,40,58
9050502,2,741097,602,382323,1,1,0,0,37,59
9050504,1,105618,427,315452,1,1,2,2,53,60
9050506,1,105602,427,315452,2,2,2,2,54,61
9050509,1,752520,421,312732,1,1,2,2,40,62
9050510,1,752956,1930,145108,1,1,2,2,57,63
9050511,1,755418,4478,324150,1,1,3,3,40,64
9050512,1,111039,717,414521,1,1,3,3,49,65
9050513,1,758571,501,345310,1,1,3,3,60,66
9050516,1,114777,6051,383806,1,1,2,2,45,67
9050520,1,128117,2051,160846,1,1,2,2,77,68
9050521,1,765035,2728,219860,1,1,2,2,72,69
9050523,1,207402,651,397697,1,1,2,2,36,70
9050526,1,142500,233,190795,1,1,3,3,66,71
9050527,4,767267,3313,263976,1,1,0,0,63,72
9050528,1,146677,4026,298918,1,1,3,3,44,73
