E,F,G,H,I,J,K
12928,1,1,3,3,71,838083
38486,1,1,2,2,68,838084
201504,2,1,2,2,79,838085
240092,2,1,0,0,29,838086
180451,2,1,2,2,59,838087
137377,1,1,3,3,27,838088
92122,2,2,2,2,63,838089
92122,2,2,2,2,84,838090
413717,0,0,2,2,38,838091
7260,2,2,0,0,50,838092
86600,2,2,2,2,65,838093
134572,1,1,2,2,97,838094
455837,1,1,2,2,65,838095
455837,1,1,2,2,65,838096
351355,1,1,3,3,47,838097
402171,1,1,2,2,25,838098
89371,1,1,2,2,47,838099
45797,1,1,2,2,42,838100
79907,1,1,3,3,44,838101
72098,2,1,3,3,55,838102
246793,2,1,3,3,25,838103
430709,1,1,0,0,72,838104
9298,1,1,3,3,38,838105
436930,1,1,3,3,62,838106
132186,2,1,3,3,40,838107
273616,1,1,3,3,54,838108
114906,2,2,3,3,66,838109
227665,1,1,3,3,71,838110
142724,2,1,0,0,52,838111
240195,1,1,3,3,25,838112
64219,1,1,0,0,25,838113
403833,2,1,2,2,35,838114
27664,1,1,0,0,65,838115
27664,1,1,0,0,65,838116
263523,1,1,3,3,47,838117
180744,1,1,3,3,42,838118
186138,2,1,3,3,25,838119
254693,1,1,2,2,69,838120
71363,1,1,2,2,42,838121
436211,1,1,2,2,25,838122
168843,2,1,0,0,37,838123
174961,2,1,3,3,31,838124
21261,1,1,3,3,53,838125
391238,1,1,2,2,52,838126
134478,2,1,2,2,35,838127
180051,2,1,3,3,25,838128
371865,1,1,2,2,51,838129
229638,1,1,0,0,41,838130
75426,2,2,0,0,43,838131
261441,1,1,3,3,69,838132
363628,2,1,3,3,42,838133
249685,1,1,2,2,25,838134
243194,1,1,0,0,41,838135
19123,1,1,0,0,49,838136
243194,1,1,0,0,43,838137
241134,2,2,0,0,49,838138
19123,2,1,0,0,43,838139
6568,2,1,0,0,55,838140
19200,2,1,2,2,49,838141
33181,1,1,3,3,44,838142
22908,2,2,3,3,48,838143
94875,1,1,2,2,53,838144
92617,1,1,0,0,69,838145
59168,2,1,2,2,75,838146
25085,1,1,0,0,62,838147
42462,1,1,3,3,25,838148
238117,2,1,2,2,48,838149
463786,1,1,2,2,25,838150
23163,2,1,3,3,51,838151
218474,1,1,0,0,40,838152
30021,2,2,0,0,66,838153
168675,1,1,2,2,25,838154
357614,2,1,3,3,86,838155
357614,1,1,3,3,87,838156
169292,2,1,2,2,52,838157
88633,0,0,0,0,33,838158
19370,1,1,2,2,57,838159
19370,1,1,0,0,50,838160
49955,2,2,0,0,33,838161
246056,2,2,3,3,42,838162
59168,1,1,2,2,78,838163
251981,1,1,2,2,45,838164
16789,1,1,3,3,52,838165
387322,1,1,0,0,28,838166
249304,1,1,0,0,73,838167
249304,1,1,2,2,74,838168
431160,1,1,0,0,29,838169
298300,2,1,3,3,56,838170
257209,1,1,3,3,25,838171
153381,1,1,2,2,48,838172
383416,1,1,2,2,27,838173
240052,1,1,2,2,40,838174
413217,1,1,3,3,58,838175
139658,1,1,3,3,62,838176
240228,2,1,0,0,55,838177
139799,1,1,3,3,26,838178
52468,1,1,3,3,34,838179
31477,2,2,0,0,48,838180
255582,1,1,0,0,25,838181
158428,1,1,0,0,25,838182
196139,1,1,0,0,52,838183
85440,2,1,2,2,36,838184
16574,2,2,2,2,50,838185
16574,2,1,2,2,49,838186
157660,1,1,3,3,45,838187
157660,1,1,3,3,47,838188
185635,1,1,3,3,38,838189
28440,1,1,2,2,75,838190
134326,1,1,3,3,71,838191
227799,1,1,3,3,28,838192
28440,2,1,2,2,76,838193
130602,2,1,0,0,63,838194
115478,1,1,0,0,64,838195
115478,1,1,3,3,69,838196
105120,1,1,3,3,51,838197
105113,1,1,2,2,64,838198
240855,2,1,2,2,42,838199
240855,1,1,2,2,44,838200
28443,2,2,2,2,30,838201
67445,2,2,3,3,57,838202
307209,2,1,2,2,55,838203
79042,2,2,3,3,52,838204
191552,2,1,2,2,65,838205
305701,1,1,3,3,29,838206
146654,2,1,2,2,25,838207
381707,1,1,3,3,48,838208
414717,1,1,3,3,29,838209
446404,1,1,3,3,71,838210
99187,1,1,2,2,55,838211
327398,1,1,2,2,45,838212
266787,1,1,2,2,25,838213
28527,1,1,3,3,32,838214
61260,1,1,3,3,27,838215
208184,1,1,2,2,28,838216
156440,2,1,2,2,77,838217
63651,1,1,0,0,39,838218
438155,1,1,0,0,73,838219
42404,1,1,3,3,75,838220
42404,2,1,3,3,68,838221
300561,1,1,0,0,62,838222
303782,1,1,2,2,31,838223
323944,2,1,3,3,27,838224
365267,1,1,2,2,42,838225
98795,1,1,2,2,74,838226
320258,2,1,2,2,44,838227
401996,1,1,2,2,52,838228
105050,2,1,3,3,79,838229
32082,1,1,3,3,38,838230
157108,1,1,0,0,25,838231
92766,1,1,2,2,47,838232
464278,1,1,0,0,86,838233
348343,1,1,0,0,86,838234
368005,1,1,3,3,62,838235
114856,1,1,3,3,25,838236
451298,2,1,0,0,92,838237
456136,1,1,2,2,52,838238
326574,2,1,2,2,48,838239
15598,2,1,0,0,53,838240
252914,1,1,2,2,51,838241
85412,1,1,3,3,28,838242
320258,1,1,2,2,38,838243
383434,1,1,3,3,36,838244
289690,1,1,0,0,35,838245
28443,1,1,3,3,49,838246
442254,1,1,2,2,66,838247
89270,1,1,2,2,57,838248
274699,2,1,3,3,27,838249
257205,1,1,2,2,25,838250
348101,2,2,2,2,82,838251
87735,2,2,3,3,43,838252
78145,2,2,0,0,71,838253
78145,2,2,0,0,82,838254
352375,2,2,3,3,56,838255
191553,1,1,2,2,67,838256
454092,2,2,2,2,62,838257
74245,2,2,2,2,65,838258
74109,1,1,3,3,44,838259
74245,2,2,2,2,58,838260
