E,F,G,H,I,J,K
12928,1,1,2,3,71,1
38486,1,1,2,2,68,1
201504,2,1,2,2,79,2
240092,2,1,0,0,29,2
180451,2,1,2,2,59,2
137377,1,1,3,3,27,1
92122,2,2,1,2,63,2
92122,2,2,2,2,84,2
413717,0,0,1,2,38,0
7260,2,2,0,0,50,2
86600,2,2,2,2,65,2
134572,1,1,2,2,97,1
455837,1,1,2,2,65,1
455837,1,1,2,2,65,1
351355,1,1,3,3,47,1
402171,1,1,2,2,25,1
89371,1,1,2,2,47,1
45797,1,1,2,2,42,1
79907,1,1,3,3,44,1
72098,2,1,2,3,55,2
246793,2,1,3,3,25,2
430709,1,1,0,0,72,1
9298,1,1,2,3,38,1
436930,1,1,3,3,62,1
132186,2,1,2,3,40,2
273616,1,1,3,3,54,1
114906,2,2,3,3,66,2
227665,1,1,3,3,71,1
142724,2,1,0,0,52,2
240195,1,1,3,3,25,1
64219,1,1,0,0,25,1
403833,2,1,2,2,35,2
27664,1,1,0,0,65,1
27664,1,1,0,0,65,1
263523,1,1,2,3,47,1
180744,1,1,2,3,42,1
186138,2,1,2,3,25,2
254693,1,1,1,2,69,1
71363,1,1,2,2,42,1
436211,1,1,2,2,25,1
168843,2,1,0,0,37,2
174961,2,1,3,3,31,2
21261,1,1,2,3,53,1
391238,1,1,2,2,52,1
134478,2,1,1,2,35,2
180051,2,1,2,3,25,2
371865,1,1,2,2,51,1
229638,1,1,0,0,41,1
75426,2,2,0,0,43,2
261441,1,1,3,3,69,1
363628,2,1,3,3,42,2
249685,1,1,2,2,25,1
243194,1,1,0,0,41,1
19123,1,1,0,0,49,1
243194,1,1,0,0,43,1
241134,2,2,0,0,49,2
19123,2,1,0,0,43,2
6568,2,1,0,0,55,2
19200,2,1,1,2,49,2
33181,1,1,3,3,44,1
22908,2,2,2,3,48,2
94875,1,1,2,2,53,1
92617,1,1,0,0,69,1
59168,2,1,2,2,75,2
25085,1,1,0,0,62,1
42462,1,1,2,3,25,1
238117,2,1,1,2,48,2
463786,1,1,2,2,25,1
23163,2,1,3,3,51,2
218474,1,1,0,0,40,1
30021,2,2,0,0,66,2
168675,1,1,1,2,25,1
357614,2,1,2,3,86,2
357614,1,1,3,3,87,1
169292,2,1,1,2,52,2
88633,0,0,0,0,33,0
19370,1,1,1,2,57,1
19370,1,1,0,0,50,1
49955,2,2,0,0,33,2
246056,2,2,3,3,42,2
59168,1,1,2,2,78,1
251981,1,1,2,2,45,1
16789,1,1,2,3,52,1
387322,1,1,0,0,28,1
249304,1,1,0,0,73,1
249304,1,1,1,2,74,1
431160,1,1,0,0,29,1
298300,2,1,3,3,56,2
257209,1,1,3,3,25,1
153381,1,1,2,2,48,1
383416,1,1,2,2,27,1
240052,1,1,2,2,40,1
413217,1,1,2,3,58,1
139658,1,1,3,3,62,1
240228,2,1,0,0,55,2
139799,1,1,2,3,26,1
52468,1,1,3,3,34,1
31477,2,2,0,0,48,2
255582,1,1,0,0,25,1
158428,1,1,0,0,25,1
196139,1,1,0,0,52,1
85440,2,1,2,2,36,2
16574,2,2,2,2,50,2
16574,2,1,1,2,49,2
157660,1,1,3,3,45,1
157660,1,1,3,3,47,1
185635,1,1,2,3,38,1
28440,1,1,1,2,75,1
